Info 0    [20:52:55.390] Starting TS Server
Info 30   [20:53:23.360] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 1.1546870023012161ms
Info 31   [20:53:23.360] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 32   [20:53:23.936] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [20:53:23.939] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 2.4081320017576218ms
Info 34   [20:53:23.939] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 35   [20:53:24.166] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [20:53:24.168] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 1.77241799980402ms
Info 37   [20:53:24.168] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 38   [20:53:24.431] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 39   [20:53:24.434] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 2.4720240011811256ms
Info 40   [20:53:24.434] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 41   [20:53:31.152] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 42   [20:53:31.154] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 2.221449002623558ms
Info 43   [20:53:31.154] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 44   [20:53:36.512] Search path: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io
Info 45   [20:53:36.512] For info: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/nuxt.config.js :: No config files found.
Info 46   [20:53:36.513] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 47   [20:53:36.529] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true Elapsed: 16.714657999575138ms
Info 48   [20:53:36.529] Project '/dev/null/inferredProject2*' (Inferred) 
Info 49   [20:53:36.529] 	Files (10)

Info 50   [20:53:36.529] -----------------------------------------------
Info 51   [20:53:38.638] DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.#nuxt.config.js :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 52   [20:53:38.639] Elapsed:: 0.10662200301885605ms DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.#nuxt.config.js :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 53   [20:53:39.285] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 54   [20:53:39.289] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: false Elapsed: 3.154908001422882ms
Info 55   [20:53:39.289] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 56   [20:53:39.670] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 57   [20:53:39.673] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 3 structureChanged: false Elapsed: 3.0873589999973774ms
Info 58   [20:53:39.673] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 59   [20:53:40.744] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 60   [20:53:40.747] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 4 structureChanged: false Elapsed: 3.14342600107193ms
Info 61   [20:53:40.747] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 62   [20:53:40.867] DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.#nuxt.config.js :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 63   [20:53:40.867] Elapsed:: 0.012563999742269516ms DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.#nuxt.config.js :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 64   [20:53:40.910] DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.nuxt :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 65   [20:53:40.910] Elapsed:: 0.0898200012743473ms DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.nuxt :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 66   [20:53:40.910] DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.nuxt :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 67   [20:53:40.910] Elapsed:: 0.013334996998310089ms DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.nuxt :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 68   [20:53:46.834] Search path: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/lib
Info 69   [20:53:46.834] For info: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/lib/modules.js :: No config files found.
Info 70   [20:53:46.834] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 71   [20:53:46.844] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 1 structureChanged: true Elapsed: 9.812430996447802ms
Info 72   [20:53:46.844] Project '/dev/null/inferredProject3*' (Inferred) 
Info 73   [20:53:46.844] 	Files (10)

Info 74   [20:53:46.844] -----------------------------------------------
Info 75   [20:53:53.281] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 76   [20:53:53.283] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 2 structureChanged: false Elapsed: 1.6117630004882812ms
Info 77   [20:53:53.283] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 78   [20:53:53.735] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 79   [20:53:53.737] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 3 structureChanged: false Elapsed: 2.0302370004355907ms
Info 80   [20:53:53.737] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 81   [20:53:58.178] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 82   [20:53:58.179] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 4 structureChanged: false Elapsed: 1.0978699997067451ms
Info 83   [20:53:58.179] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 84   [20:53:58.179] Structure before ensureProjectForOpenFiles:
Info 85   [20:53:58.179] Structure after ensureProjectForOpenFiles:
Info 86   [20:53:58.179] got projects updated in background, updating diagnostics for /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/lib/categories.js,/home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/nuxt.config.js,/home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/lib/modules.js
Info 87   [20:55:25.558] DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.nuxt :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 88   [20:55:25.558] Elapsed:: 0.026420000940561295ms DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.nuxt :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 89   [20:55:25.558] DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.nuxt :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 90   [20:55:25.558] Elapsed:: 0.029785998165607452ms DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.nuxt :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 91   [20:55:47.569] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 92   [20:55:47.572] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 5 structureChanged: false Elapsed: 3.3544440008699894ms
Info 93   [20:55:47.572] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 94   [20:55:51.161] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 95   [20:55:51.164] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 6 structureChanged: false Elapsed: 2.5473459996283054ms
Info 96   [20:55:51.164] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 97   [20:55:51.496] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 98   [20:55:51.497] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 7 structureChanged: false Elapsed: 1.058694999665022ms
Info 99   [20:55:51.497] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 100  [20:55:52.194] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 101  [20:55:52.196] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 8 structureChanged: false Elapsed: 2.051004998385906ms
Info 102  [20:55:52.196] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 103  [20:55:52.530] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 104  [20:55:52.532] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 9 structureChanged: false Elapsed: 1.9728070013225079ms
Info 105  [20:55:52.532] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 106  [20:55:53.282] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 107  [20:55:53.284] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 10 structureChanged: false Elapsed: 1.9018010012805462ms
Info 108  [20:55:53.284] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 109  [20:55:53.752] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 110  [20:55:53.754] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 11 structureChanged: false Elapsed: 1.419709999114275ms
Info 111  [20:55:53.754] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 112  [20:55:53.755] getCompletionData: Get current token: 0.011331003159284592
Info 113  [20:55:53.755] getCompletionData: Is inside comment: 0.03512699902057648
Info 114  [20:55:53.755] getCompletionData: Get previous token 1: 0.03392399847507477
Info 115  [20:55:53.755] getCompletionData: Get previous token 2: 0.027661997824907303
Info 116  [20:55:53.755] getCompletionsAtPosition: isCompletionListBlocker: 0.17976000159978867
Info 117  [20:55:53.756] getCompletionData: Get current token: 0.009717997163534164
Info 118  [20:55:53.756] getCompletionData: Is inside comment: 0.030838999897241592
Info 119  [20:55:53.756] getCompletionData: Get previous token 1: 0.029897000640630722
Info 120  [20:55:53.756] getCompletionData: Get previous token 2: 0.02401600033044815
Info 121  [20:55:53.756] getCompletionsAtPosition: isCompletionListBlocker: 0.002365000545978546
Info 122  [20:55:53.757] getCompletionData: Get current token: 0.009346999228000641
Info 123  [20:55:53.757] getCompletionData: Is inside comment: 0.07798799872398376
Info 124  [20:55:53.757] getCompletionData: Get previous token 1: 0.026799999177455902
Info 125  [20:55:53.757] getCompletionData: Get previous token 2: 0.024316001683473587
Info 126  [20:55:53.757] getCompletionsAtPosition: isCompletionListBlocker: 0.0035270005464553833
Info 127  [20:55:54.88] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 128  [20:55:54.90] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 12 structureChanged: false Elapsed: 1.6385239996016026ms
Info 129  [20:55:54.90] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 130  [20:55:54.90] getCompletionData: Get current token: 0.007323998957872391
Info 131  [20:55:54.90] getCompletionData: Is inside comment: 0.03150999918580055
Info 132  [20:55:54.90] getCompletionData: Get previous token 1: 0.026430003345012665
Info 133  [20:55:54.91] getCompletionData: Get previous token 2: 0.025037001818418503
Info 134  [20:55:54.91] getCompletionsAtPosition: isCompletionListBlocker: 0.002514999359846115
Info 135  [20:55:54.92] getCompletionData: Get current token: 0.007082998752593994
Info 136  [20:55:54.92] getCompletionData: Is inside comment: 0.031689997762441635
Info 137  [20:55:54.92] getCompletionData: Get previous token 1: 0.026340000331401825
Info 138  [20:55:54.92] getCompletionData: Get previous token 2: 0.023954998701810837
Info 139  [20:55:54.92] getCompletionsAtPosition: isCompletionListBlocker: 0.0016629993915557861
Info 140  [20:55:54.98] getCompletionData: Get current token: 0.0066919997334480286
Info 141  [20:55:54.99] getCompletionData: Is inside comment: 0.03004700317978859
Info 142  [20:55:54.99] getCompletionData: Get previous token 1: 0.02657100185751915
Info 143  [20:55:54.99] getCompletionData: Get previous token 2: 0.03004699945449829
Info 144  [20:55:54.99] getCompletionsAtPosition: isCompletionListBlocker: 0.0017830021679401398
Info 145  [20:55:54.433] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 146  [20:55:54.435] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 13 structureChanged: false Elapsed: 1.3745130002498627ms
Info 147  [20:55:54.435] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 148  [20:55:54.818] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 149  [20:55:54.819] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 14 structureChanged: false Elapsed: 1.4867560006678104ms
Info 150  [20:55:54.819] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 151  [20:55:55.744] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 152  [20:55:55.745] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 15 structureChanged: false Elapsed: 1.4909039996564388ms
Info 153  [20:55:55.745] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 154  [20:55:55.873] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 155  [20:55:55.874] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 16 structureChanged: false Elapsed: 1.4376729987561703ms
Info 156  [20:55:55.874] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 157  [20:55:56.234] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 158  [20:55:56.235] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 17 structureChanged: false Elapsed: 0.8824420012533665ms
Info 159  [20:55:56.235] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 160  [20:56:11.267] DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.nuxt :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 161  [20:56:11.267] Elapsed:: 0.04039599746465683ms DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.nuxt :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 162  [20:56:11.267] DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.nuxt :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 163  [20:56:11.267] Elapsed:: 0.012364000082015991ms DirectoryWatcher:: Triggered with /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.nuxt :: WatchInfo: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io 0 Project: /dev/null/inferredProject2* WatchType: Failed Lookup Locations
Info 164  [20:56:24.252] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 165  [20:56:24.253] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 18 structureChanged: false Elapsed: 1.4991389997303486ms
Info 166  [20:56:24.254] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 167  [20:56:27.321] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 168  [20:56:27.323] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 19 structureChanged: false Elapsed: 1.587687000632286ms
Info 169  [20:56:27.323] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 170  [20:56:28.410] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 171  [20:56:28.412] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 20 structureChanged: false Elapsed: 1.3882490023970604ms
Info 172  [20:56:28.412] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 173  [20:56:30.258] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 174  [20:56:30.261] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 21 structureChanged: false Elapsed: 2.408271998167038ms
Info 175  [20:56:30.261] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 176  [20:56:31.811] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 177  [20:56:31.813] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 22 structureChanged: false Elapsed: 2.1166479997336864ms
Info 178  [20:56:31.813] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 179  [20:56:33.821] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 180  [20:56:33.822] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 23 structureChanged: false Elapsed: 1.4946109987795353ms
Info 181  [20:56:33.822] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 182  [20:56:34.442] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 183  [20:56:34.444] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 24 structureChanged: false Elapsed: 2.0996880009770393ms
Info 184  [20:56:34.444] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 185  [20:56:34.827] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 186  [20:56:34.829] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 25 structureChanged: false Elapsed: 2.0876640006899834ms
Info 187  [20:56:34.829] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 188  [20:56:39.732] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 189  [20:56:39.734] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 26 structureChanged: false Elapsed: 2.1122509986162186ms
Info 190  [20:56:39.734] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 191  [20:56:40.548] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 192  [20:56:40.551] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 27 structureChanged: false Elapsed: 3.317995000630617ms
Info 193  [20:56:40.551] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 194  [20:56:41.385] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 195  [20:56:41.388] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 28 structureChanged: false Elapsed: 2.1356349997222424ms
Info 196  [20:56:41.388] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 197  [20:56:42.194] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 198  [20:56:42.196] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 29 structureChanged: false Elapsed: 1.8406869992613792ms
Info 199  [20:56:42.196] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 200  [20:56:47.620] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 201  [20:56:47.622] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 30 structureChanged: false Elapsed: 1.890080001205206ms
Info 202  [20:56:47.622] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 203  [20:56:48.682] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 204  [20:56:48.683] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 31 structureChanged: false Elapsed: 1.731359001249075ms
Info 205  [20:56:48.683] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 206  [20:56:49.403] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 207  [20:56:49.404] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 32 structureChanged: false Elapsed: 1.4474320001900196ms
Info 208  [20:56:49.404] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 209  [20:56:49.803] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 210  [20:56:49.805] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 33 structureChanged: false Elapsed: 1.888908002525568ms
Info 211  [20:56:49.805] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 212  [20:56:50.234] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 213  [20:56:50.236] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 34 structureChanged: false Elapsed: 1.8969530016183853ms
Info 214  [20:56:50.237] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 215  [20:56:51.179] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 216  [20:56:51.181] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 35 structureChanged: false Elapsed: 1.8612550012767315ms
Info 217  [20:56:51.181] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 218  [20:57:0.660] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 219  [20:57:0.662] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 36 structureChanged: false Elapsed: 1.9919530004262924ms
Info 220  [20:57:0.662] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 221  [20:57:1.622] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 222  [20:57:1.624] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 37 structureChanged: false Elapsed: 1.862737998366356ms
Info 223  [20:57:1.624] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 224  [20:57:2.540] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 225  [20:57:2.543] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 38 structureChanged: false Elapsed: 2.3338100016117096ms
Info 226  [20:57:2.543] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 227  [20:57:3.282] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 228  [20:57:3.284] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 39 structureChanged: false Elapsed: 1.9538000002503395ms
Info 229  [20:57:3.284] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 230  [20:57:4.299] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 231  [20:57:4.301] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 40 structureChanged: false Elapsed: 2.232107002288103ms
Info 232  [20:57:4.301] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 233  [20:57:20.101] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 234  [20:57:20.103] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 41 structureChanged: false Elapsed: 1.639885999262333ms
Info 235  [20:57:20.103] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 236  [20:57:21.523] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 237  [20:57:21.525] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 42 structureChanged: false Elapsed: 1.861184999346733ms
Info 238  [20:57:21.525] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 239  [20:57:21.795] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
